# Nintendo Publishers
# Format: ID|Name

# References:
# - https://www.gametdb.com/Wii
# - https://www.gametdb.com/Wii/Downloads
# - https://wiki.nesdev.com/w/index.php/Family_Computer_Disk_System#Manufacturer_codes

#\x00\x00|<unlicensed>	# Not supported by parser; script will add this manually.
00|<unlicensed>
01|Nintendo
02|Rocket Games / Ajinomoto
03|Imagineer-Zoom
04|Gray Matter
05|Zamuse
06|Falcom
07|Enix
08|Capcom
09|Hot B Co.
0A|Jaleco
0B|Coconuts Japan
0C|Coconuts Japan / G.X.Media
0D|Micronet
0E|Technos
0F|Mebio Software
0G|Shouei System
0H|Starfish
0J|Mitsui Fudosan / Dentsu
0L|Warashi Inc.
0N|Nowpro
0P|Game Village
0Q|IE Institute
12|Infocom
13|Electronic Arts Japan
15|Cobra Team
16|Human / Field
17|KOEI
18|Hudson Soft
19|S.C.P.
1A|Yanoman
1C|Tecmo Products
1D|Japan Glary Business
1E|Forum / OpenSystem
1F|Virgin Games (Japan)
1G|SMDE
1J|Daikokudenki
1P|Creatures Inc.
1Q|TDK Deep Impresion
20|Zoo
21|Sunsoft / Tokai Engineering
22|POW (Planning Office Wada) / VR1 Japan
23|Micro World
25|San-X
26|Enix
27|Loriciel / Electro Brain
28|Kemco Japan
29|Seta
2A|Culture Brain
2C|Palsoft
2D|Visit Co.,Ltd.
2E|Intec
2F|System Sacom
2G|Poppo
2H|Ubisoft Japan
2J|Media Works
2K|NEC InterChannel
2L|Tam
2M|Jordan
2N|Smilesoft / Rocket
2Q|Mediakite
30|Viacom
31|Carrozzeria
32|Dynamic
34|Magifact
35|Hect
36|Codemasters
37|Taito / GAGA Communications
38|Laguna
39|Telstar / Event / Taito
3A|Soedesco
3B|Arcade Zone Ltd
3C|Entertainment International / Empire Software
3D|Loriciel
3E|Gremlin Graphics
3F|K.Amusement Leasing Co.
40|Seika Corp.
41|Ubi Soft Entertainment
42|Sunsoft US
44|Life Fitness
46|System 3
47|Spectrum Holobyte
49|Irem
4A|Gakken	// FDS
4B|Raya Systems
4C|Renovation Products
4D|Malibu Games
4F|Eidos
4G|Playmates Interactive
4J|Fox Interactive
4K|Time Warner Interactive
4Q|Disney Interactive
4S|Black Pearl
4U|Advanced Productions
4X|GT Interactive
4Y|RARE
4Z|Crave Entertainment
50|Absolute Entertainment
51|Acclaim
52|Activision
53|American Sammy
54|Take 2 Interactive / GameTek
55|Hi Tech
56|LJN LTD.
58|Mattel
5A|Mindscape / Red Orb Entertainment
5B|Romstar
5C|Taxan
5D|Midway / Tradewest
5F|American Softworks
5G|Majesco Sales Inc
5H|3DO
5K|Hasbro
5L|NewKidCo
5M|Telegames
5N|Metro3D
5P|Vatical Entertainment
5Q|LEGO Media
5S|Xicat Interactive
5T|Cryo Interactive
5W|Red Storm Entertainment
5X|Microids
5Z|Data Design / Conspiracy / Swing
60|Titus
61|Virgin Interactive
62|Maxis
64|LucasArts Entertainment
67|Ocean
68|Bethesda Softworks
69|Electronic Arts
6B|Laser Beam
6E|Elite Systems
6F|Electro Brain
6G|The Learning Company
6H|BBC
6J|Software 2000
6K|UFO Interactive Games
6L|BAM! Entertainment
6M|Studio 3
6Q|Classified Games
6S|TDK Mediactive
6U|DreamCatcher
6V|JoWood Produtions
6W|Sega
6X|Wannado Edition
6Y|LSP (Light & Shadow Prod.)
6Z|ITE Media
70|Atari (Infogrames)
71|Interplay
72|JVC (US)
73|Parker Brothers
75|Sales Curve (Storm / SCI)
78|THQ
79|Accolade
7A|Triffix Entertainment
7C|Microprose Software
7D|Sierra / Universal Interactive
7F|Kemco
7G|Rage Software
7H|Encore
7J|Zoo
7K|Kiddinx
7L|Simon & Schuster Interactive
7M|Asmik Ace Entertainment Inc.
7N|Empire Interactive
7Q|Jester Interactive
7S|Rockstar Games
7T|Scholastic
7U|Ignition Entertainment
7V|Summitsoft
7W|Stadlbauer
80|Misawa
81|Teichiku
82|Namco Ltd.
83|LOZC
84|KOEI
86|Tokuma Shoten Intermedia
87|Tsukuda Original
88|DATAM-Polystar
8B|BulletProof Software (BPS)
8C|Vic Tokai Inc.
8E|Character Soft
8F|I'Max
8G|Saurus
8J|General Entertainment
8M|Cyberfront Korea
8N|Success
8P|Sega Japan
90|Takara Amusement
91|Chun Soft
92|Video System /  Mc O' River
93|BEC
95|Varie
96|Yonezawa / S'pal
97|Kaneko
99|Marvelous Entertainment
9A|Nichibutsu / Nihon Bussan
9B|Tecmo
9C|Imagineer
9F|Nova
9G|Take2 / Den'Z / Global Star
9H|Bottom Up
9J|TGL (Technical Group Laboratory)
9L|Hasbro Japan
9N|Marvelous Entertainment
9P|Keynet Inc.
9Q|Hands-On Entertainment
A0|Telenet
A1|Hori
