# HTTP status codes
# Format: ID|Name

# 1xx: Informational response
100|Continue
101|Switching Protocols
102|Processing
103|Early Hints

# 2xx: Success
200|OK
201|Created
202|Accepted
203|Non-Authoritative Information
204|No Content
205|Reset Content
206|Partial Content
207|Multi-Status
208|Already Reported
218|This is fine
226|IM Used

# 3xx: Redirection
300|Multiple Choices
301|Moved Permanently
302|Found
303|See Other
304|Not Modified
305|Use Proxy
306|Switch Proxy
307|Temporary Redirect
308|Permanent Redirect

# 4xx: Client errors
400|Bad Request
401|Unauthorized
402|Payment Required
403|Forbidden
404|Not Found
405|Method Not Allowed
406|Not Acceptable
407|Proxy Authentication Required
408|Request Timeout
409|Conflict
410|Gone
411|Length Required
412|Precondition Failed
413|Payload Too Large
414|URI Too Long
415|Unsupported Media Type
416|Range Not Satisfiable
417|Expectation Failed
418|I'm a teapot
419|Page Expired
420|Enhance Your Calm
421|Misdirected Request
422|Unprocessable Entity
423|Locked
424|Failed Dependency
425|Too Early
426|Upgrade Required
428|Precondition Required
429|Too Many Requests
430|Request Header Fields Too Large
431|Request Header Fields Too Large
450|Blocked by Windows Parental Controls
451|Unavailable For Legal Reasons
498|Invalid Token
499|Token Required

# 5xx: Server errors
500|Internal Server Error
501|Not Implemented
502|Bad Gateway
503|Service Unavailable
504|Gateway Timeout
505|HTTP Version Not Supported
506|Variant Also Negotiates
507|Insufficient Storage
508|Loop Detected
509|Bandwidth Limit Exceeded
510|Not Extended
511|Network Authentication Required
520|Web Server returns an unknown error
521|Web Server is down
522|Connection timed out
523|Origin is unreachable
524|A timeout occurred
525|SSL handshake failed
526|Invalid SSL Certificate
527|Railgun Listener to origin error
529|Site is overloaded
530|Site is frozen
598|Network read timeout error
